	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3
ENSG00000179766	1.793662	2.081953	2.668961	2.558505	5.342405	0	6.136656	1.528657
ENSG00000179772	0	1.040976	0	0	0	1.631621	0	0
ENSG00000179774	11.6588	9.368787	10.67585	8.315143	17.09569	19.57945	18.40997	15.28657
ENSG00000179776	4.484156	2.081953	1.334481	0.6396264	1.068481	4.894863	0.8766652	0
ENSG00000179796	0	0	0	1.279253	0	0	0	1.528657
ENSG00000179799	0	0	1.334481	0	0	0	0	0
ENSG00000179813	0	1.040976	0	0.6396264	0	0	0	1.528657
ENSG00000179817	0	0	0	0	0	0	0	0
ENSG00000179818	721.9491	623.5449	691.261	788.6593	701.992	532.7242	592.6257	651.2079
ENSG00000179820	951.5378	1145.074	1114.291	713.1834	935.9893	1180.478	1246.618	984.4552
ENSG00000179826	1.793662	8.327811	4.003442	5.756637	3.205443	7.342294	7.013322	6.114629
ENSG00000179832	251.1127	212.3592	206.8445	188.0501	216.9016	201.5052	248.0962	188.0248
ENSG00000179833	2109.347	2280.779	2483.469	1338.738	1923.266	2325.876	2366.119	2453.495
ENSG00000179840	0	0	0	0	0	0	0	0
ENSG00000179841	518.3684	577.7419	525.7854	517.4577	521.4187	587.3835	596.1323	736.8127
ENSG00000179846	21.52395	22.90148	26.68961	19.18879	22.4381	24.47431	23.66996	25.98717
ENSG00000179855	119.2785	138.4499	148.1274	69.71927	74.79366	182.7415	170.073	183.4389
ENSG00000179859	261.8747	364.3417	256.2203	260.3279	450.8989	171.3202	184.9764	400.5082
ENSG00000179862	104.0324	129.0811	134.7825	85.07031	89.7524	112.5818	142.8964	103.9487
ENSG00000179869	7.174649	10.40976	13.34481	17.26991	26.71202	3.263242	9.643317	7.643286
ENSG00000179873	89.68311	88.48299	66.72403	45.41347	47.01316	38.34309	51.72325	59.61763
ENSG00000179886	496.8444	485.095	497.7613	446.4592	479.7479	370.378	434.8259	415.7947
ENSG00000179889	4179.233	4154.537	3991.432	4062.267	4117.925	3200.425	3270.838	3454.765
ENSG00000179899	163.2233	198.8265	209.5135	172.6991	182.7102	204.7684	210.3996	191.0821
ENSG00000179902	0	0	0	0	0	0.8158105	0	0
ENSG00000179909	13.45247	7.286835	4.003442	7.03589	8.547847	8.158105	13.14998	16.81523
ENSG00000179912	2341.626	2392.164	2028.411	2114.605	1845.267	1911.444	2074.19	3220.881
ENSG00000179913	1.793662	8.327811	2.668961	0.6396264	3.205443	15.5004	3.506661	4.585971
ENSG00000179914	0	0	0	1.279253	0	0.8158105	0.8766652	0
ENSG00000179915	104.9292	85.36006	110.7619	29.42281	43.80772	31.81661	35.06661	32.1018
ENSG00000179918	5167.541	5013.342	5063.02	5596.091	5080.627	4978.076	4896.175	4894.76
ENSG00000179919	0	0	0	0	0	0	0	0
ENSG00000179921	3.587325	5.204882	2.668961	8.315143	4.273924	4.894863	1.75333	4.585971
ENSG00000179922	286.0891	297.7192	268.2306	232.824	199.8059	237.4009	232.3163	184.9675
ENSG00000179930	9.865142	10.40976	16.01377	5.756637	10.68481	6.526484	9.643317	15.28657
ENSG00000179933	1272.603	1340.778	1197.029	1345.774	1282.177	1290.612	1355.324	1360.505
ENSG00000179934	0	1.040976	1.334481	0	0	0	0	0
ENSG00000179935	67.26233	83.27811	70.72748	65.88151	84.40999	72.60713	51.72325	56.56031
ENSG00000179938	24.21444	18.73757	18.68273	21.10767	14.95873	44.86958	35.94327	51.97434
ENSG00000179941	1103.999	1134.664	1083.598	1331.062	1370.861	1372.193	1325.518	1496.555
ENSG00000179943	882.4818	718.2737	699.2679	661.3736	694.5126	438.906	429.5659	382.1643
ENSG00000179950	4314.655	4206.586	4305.035	4982.05	4609.427	3146.581	3526.824	2811.2
ENSG00000179954	19.73028	18.73757	12.01033	24.94543	11.75329	17.94783	23.66996	13.75791
ENSG00000179958	2153.292	2097.567	2135.169	2083.903	1959.594	1718.097	1680.567	1595.918
ENSG00000179965	545.2733	493.4228	484.4165	438.7837	408.1597	356.5092	361.1861	324.0753
ENSG00000179967	0	0	9.341365	26.22468	9.616328	0	15.77997	51.97434
ENSG00000179978	165.0169	188.4167	110.7619	221.9503	119.6699	75.05456	71.88655	84.07614
ENSG00000179981	840.3308	905.6495	882.0917	670.3284	687.0332	842.7322	807.4086	785.7298
ENSG00000179988	315.6846	302.9241	298.9237	285.2734	297.0377	261.8752	230.5629	264.4577
ENSG00000179994	1.793662	0	2.668961	4.477384	0	0	0	3.057314
ENSG00000179997	0	0	0	0.6396264	0	0	0	0
ENSG00000180008	3590.015	4073.341	4112.869	3600.457	2817.584	4805.94	3786.317	3839.987
ENSG00000180011	1147.944	1280.401	1222.384	1440.439	1649.735	1346.087	996.7683	1137.321
ENSG00000180015	90.57994	122.8352	85.40676	120.8894	98.30024	100.3447	116.5965	117.7066
ENSG00000180016	0	0	0	0	0	0	0	1.528657
ENSG00000180019	0.8968311	0	1.334481	0.6396264	0	2.447431	1.75333	1.528657
ENSG00000180035	946.1568	961.8622	996.8571	959.4395	909.2773	885.1544	832.8319	703.1823
ENSG00000180042	0	0	0	0	0	0	0	0
ENSG00000180043	0	0	0	0	2.136962	2.447431	0	0
ENSG00000180044	138.112	133.245	129.4446	109.3761	117.5329	156.6356	161.3064	181.9102
ENSG00000180053	0	0	0	0	0	0	0	0
ENSG00000180061	7.174649	7.286835	4.003442	1.279253	0	3.263242	6.136656	3.057314
ENSG00000180066	10.76197	5.204882	10.67585	9.594395	9.616328	19.57945	21.03996	10.7006
ENSG00000180068	0	0	0	0	0	0	0	0
ENSG00000180071	176.6757	139.4908	141.455	176.5369	198.7374	236.585	249.8496	126.8785
ENSG00000180083	0	0	0	0.6396264	1.068481	1.631621	0	0
ENSG00000180089	54.7067	78.07323	49.37578	79.31367	80.13607	35.07985	60.4899	47.38837
ENSG00000180090	0	0	0	0	0	0	0	0
ENSG00000180096	35.87325	47.88491	44.03786	36.4587	27.7805	62.81741	79.77653	65.73226
ENSG00000180098	516.5747	480.9311	489.7544	607.645	620.7874	624.095	603.1457	527.3867
ENSG00000180104	1806.218	1822.75	1877.614	2172.811	1982.032	1898.391	1777.877	1837.446
ENSG00000180105	0	0	0	0	0	0	0	0
ENSG00000180113	25.11127	37.47515	82.7378	47.97198	17.09569	75.87037	64.87322	47.38837
ENSG00000180116	0	1.040976	2.668961	0.6396264	0	0.8158105	0.8766652	4.585971
ENSG00000180138	0	0	0	0	0	0	0	0
ENSG00000180139	22.42078	7.286835	18.68273	3.198132	7.479366	8.158105	3.506661	4.585971
ENSG00000180150	0.8968311	0	0	0	0	0	0	0
ENSG00000180152	1.793662	3.122929	2.668961	3.198132	4.273924	1.631621	0	3.057314
ENSG00000180155	15.24613	7.286835	12.01033	7.675516	9.616328	6.526484	19.28663	7.643286
ENSG00000180172	1.793662	0	1.334481	0.6396264	0	0.8158105	0.8766652	0
ENSG00000180176	0	0	0	0	0	0	0	0
ENSG00000180178	8.07148	45.80296	5.337923	20.46804	2.136962	39.1589	2.629996	42.8024
ENSG00000180182	5645.552	5789.911	6117.259	5535.326	5870.234	4990.313	5842.097	5793.611
ENSG00000180185	809.8385	796.3469	731.2954	1011.889	937.0578	705.6761	717.9888	628.2781
ENSG00000180189	0	2.081953	1.334481	0.6396264	1.068481	0.8158105	0	1.528657
ENSG00000180190	459.1775	360.1778	411.02	162.4651	193.395	370.378	474.2759	616.0488
ENSG00000180198	5752.275	5856.533	5276.537	4634.733	4485.483	3950.154	3997.593	3456.294
ENSG00000180205	0	0	0	0	0	0	0	0
ENSG00000180209	8.968311	5.204882	9.341365	9.594395	2.136962	8.158105	11.39665	15.28657
ENSG00000180210	1.793662	0	4.003442	1.279253	0	1.631621	5.259991	1.528657
ENSG00000180211	0.8968311	1.040976	1.334481	3.198132	4.273924	1.631621	3.506661	3.057314
ENSG00000180219	0	0	0	0	0	0	0	0
ENSG00000180221	0.8968311	0	0	1.279253	1.068481	1.631621	0	3.057314
ENSG00000180228	1511.16	1569.792	1609.384	1634.245	1729.871	1571.251	1574.491	1621.905
ENSG00000180229	467.249	509.0375	537.7957	523.854	559.884	409.5369	458.4959	455.5398
ENSG00000180230	0.8968311	2.081953	0	0	1.068481	0.8158105	0.8766652	0
ENSG00000180233	585.6307	642.2824	561.8164	630.6716	589.8015	550.6721	553.1757	695.539
ENSG00000180245	27.80176	44.76198	34.6965	53.72861	48.08164	27.73756	23.66996	18.34389
ENSG00000180251	10.76197	6.245858	16.01377	15.99066	6.410885	17.94783	8.766652	9.171943
ENSG00000180257	271.7398	220.687	266.8961	260.3279	208.3538	324.6926	288.4228	288.9162
ENSG00000180259	0	0	0	0	0	0	0	0
ENSG00000180263	502.2254	579.8238	584.5025	580.7807	587.6645	574.3306	594.379	830.0608
ENSG00000180264	35.87325	22.90148	22.68617	19.18879	26.71202	32.63242	30.68328	24.45851
ENSG00000180269	0	0	0	0	0	0	0	0
ENSG00000180279	4.484156	8.327811	10.67585	8.315143	12.82177	5.710673	8.766652	4.585971
ENSG00000180284	0	1.040976	0	0.6396264	0	0	0	0
ENSG00000180287	16.14296	46.84394	6.672403	70.3589	14.95873	32.63242	11.39665	24.45851
ENSG00000180304	2786.454	2513.958	2284.631	2417.788	2497.04	2194.53	2295.109	2257.827
ENSG00000180305	0	0	0	0.6396264	0	0.8158105	0	0
ENSG00000180316	6.277818	7.286835	4.003442	5.756637	4.273924	3.263242	3.506661	3.057314
